code,catalog_name,catalog_depth,parent_catalog_code,full_catalog_name
6983,Pet Agility Equipment,3,2,Animals & Pet Supplies > Pet Supplies > Pet Agility Equipment
6811,Pet Apparel Hangers,3,2,Animals & Pet Supplies > Pet Supplies > Pet Apparel Hangers
500084,Pet Bed Accessories,3,2,Animals & Pet Supplies > Pet Supplies > Pet Bed Accessories
5092,Pet Bells & Charms,3,2,Animals & Pet Supplies > Pet Supplies > Pet Bells & Charms
6978,Pet Biometric Monitors,3,2,Animals & Pet Supplies > Pet Supplies > Pet Biometric Monitors
6980,Pet Glucose Meters,4,6978,Animals & Pet Supplies > Pet Supplies > Pet Biometric Monitors > Pet Glucose Meters
6982,Pet Pedometers,4,6978,Animals & Pet Supplies > Pet Supplies > Pet Biometric Monitors > Pet Pedometers
6981,Pet Thermometers,4,6978,Animals & Pet Supplies > Pet Supplies > Pet Biometric Monitors > Pet Thermometers
7143,Pet Bowl Mats,3,2,Animals & Pet Supplies > Pet Supplies > Pet Bowl Mats
8513,Pet Bowl Stands,3,2,Animals & Pet Supplies > Pet Supplies > Pet Bowl Stands
6252,"Pet Bowls, Feeders & Waterers",3,2,"Animals & Pet Supplies > Pet Supplies > Pet Bowls, Feeders & Waterers"
500026,Pet Carrier & Crate Accessories,3,2,Animals & Pet Supplies > Pet Supplies > Pet Carrier & Crate Accessories
6251,Pet Carriers & Crates,3,2,Animals & Pet Supplies > Pet Supplies > Pet Carriers & Crates
6250,Pet Collars & Harnesses,3,2,Animals & Pet Supplies > Pet Supplies > Pet Collars & Harnesses
6321,Pet Containment Systems,3,2,Animals & Pet Supplies > Pet Supplies > Pet Containment Systems
505811,Pet Door Accessories,3,2,Animals & Pet Supplies > Pet Supplies > Pet Door Accessories
4497,Pet Doors,3,2,Animals & Pet Supplies > Pet Supplies > Pet Doors
8050,Pet Eye Drops & Lubricants,3,2,Animals & Pet Supplies > Pet Supplies > Pet Eye Drops & Lubricants
8068,Pet First Aid & Emergency Kits,3,2,Animals & Pet Supplies > Pet Supplies > Pet First Aid & Emergency Kits
6248,Pet Flea & Tick Control,3,2,Animals & Pet Supplies > Pet Supplies > Pet Flea & Tick Control
5162,Pet Food Containers,3,2,Animals & Pet Supplies > Pet Supplies > Pet Food Containers
5163,Pet Food Scoops,3,2,Animals & Pet Supplies > Pet Supplies > Pet Food Scoops
6383,Pet Grooming Supplies,3,2,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies
6385,Pet Combs & Brushes,4,6383,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Combs & Brushes
503733,Pet Fragrances & Deodorizing Sprays,4,6383,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Fragrances & Deodorizing Sprays
6384,Pet Hair Clippers & Trimmers,4,6383,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Hair Clippers & Trimmers
8167,Pet Hair Dryers,4,6383,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Hair Dryers
7318,Pet Nail Polish,4,6383,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Nail Polish
